Elongation (ft),% Elongation,Sample 1,Sample 2,DELTA,2024 Average,BASELINE 2015,Delta Baseline,% STRONGER
10,0,0,,,0,,,
12,20,0,,0,0,,,
14,40,6,,6,3,,,
16,60,14,,14,7,,,
18,80,22,,22,11,,,
20,100,26,,26,13,53.5,-40.5,-76%
22,120,32,,32,16,,,
24,140,38,,38,19,,,0%
26,160,44,,44,22,,,
28,180,50,,50,25,,,
30,200,54,,54,27,99.5,-72.5,-73%
32,220,62,,62,31,,,
34,240,72,,72,36,,,0%
36,260,82,,82,41,,,
38,280,92,,92,46,,,
40,300,106,,106,53,165.5,-112.5,-68%
42,320,122,,122,61,,,
44,340,134,,134,67,,,0%
46,360,148,,148,74,,,
48,380,168,,168,84,,,
50,400,192,,192,96,331,-235,-71%