Date,Brk,Hour,Weight,Anchor Offset,Water Height,Harness,Horizontal Distance,Additional Factors,JM,JA,Cord Serial Number
9/30/2024,F,14,230,17,4,AF,0,,MS,ZS,6556 4834
,B/2,14,213,6,,AF,,,,,6556 4834
,B,14,259,6,3,AF,1,,,,6556 4834
10/4/2024,F,17,236,6,,AF,,,ZG,ZS,6556 4834
10/5/2024,F,11,223,12,,AF,,,,,6556 4834
,,11,219,24,-3,AF,0,,,,6556 4834
,,11,207,29,-5,AF,4,,,,6556 4834
,B,12,250,12,1,AF,4,,,,6556 4834
,,12,237,6,,AF,,,,,6556 4834
,,12,233,6,,AF,,,,,6556 4834
,,12,211,18,3,AF,3,,,,6556 4834
,,12,211,12,4,AF,,,,,6556 4834
,B,13,239,17,D0,AF,2,,OAB,MS,6556 4834
,,13,222,6,,AF,,,,,6556 4834
,B,15,242,16,-2,AF,0,,OAB,CD,6556 4834
10/6/2024,F,11,254,5,4,AF,0,,ZS,ZG,6556 4834
,B,12,222,6,,AF,,,ZS,CD,6556 4834
,,12,218,18,1,AF,3,PUSHDOWN,,,6556 4834
10/7/2024,B,15,212,6,,AF,,W1,ZS,ZG,6556 4834
,,15,220,18,1,AF,0,W2,,,6556 4834
,B,15,212,18,7,AF,,,,,6556 4834
10/10/2024,F,15,230,6,,AF,,,,,6556 4834
,B,16,224,25,-4,AF,1,,,,6556 4834
,,16,220,6,,AF,,,,,6556 4834
10/12/2024,F,7,246,6,7,AF,1,,MS,CD,6556 4834
,B,9,223,6,,AF,,,,,6556 4834
,B,10,227,20,-1,AF,0,,CD,MS,6556 4834
,B,13,231,18,D0,AF,0,,,,6556 4834
,,13,215,12,,BF,,,ZS,ZG,6556 4834
,B,15,226,6,,AF,,,,,6556 4834
,,15,229,18,-2,AF,0,,,,6556 4834
,,15,206,18,,AF,,,,,6556 4834
,B,17,229,23,-5,AF,2,,,,6556 4834
,,17,228,16,,AF,,,,,6556 4834
10/13/2024,F,8,258,11,4,AF,0,,ZS,OAB,6556 4834
,B,10,218,12,,AF,,,,,6556 4834
,B,12,226,6,,AF,,,,,6556 4834
,B,12,226,20,-3,AF,0,,MS,ZS,6556 4834
,B,13,240,13,1,AF,0,,,,6556 4834
,B,14,235,17,D0,AF,0,,,,6556 4834
,B,16,226,20,,AF,,,,,6556 4834
10/14/2024,F,12,216,24,-2,AF,0,,ZG,ZS,6556 4834
,,12,213,12,,AF,,,,,6556 4834
,B,16,234,16,D0,AF,0,,,,6556 4834
10/19/2024,F,11,253,13,2,AF,3,,,,6556 4834
,,11,235,13,2,AF,3,,,,6556 4834
,,11,228,9,,AF,,,,,6556 4834
,,13,231,6,,AF,,,CD,MS,6556 4834
10/20/2024,F,10,239,6,,AF,,,,,6556 4834
,,10,226,6,,AF,,,,,6556 4834
,B,12,235,17,-1,AF,0,,,,6556 4834
,B/2,12,215,23,2,AF,1,,ZG,ZS,6556 4834
,B,12,254,6,,AF,,,OAB,ZS,6556 4834
,,12,218,12,,AF,,,,,6556 4834
,B,17,228,9,,AF,,,,,6556 4834
,,17,209,12,,AF,,,,,6556 4834
10/24/2024,F,17,237,12,,AF,,,ZS,ZG,6556 4834
10/25/2024,F,14,246,16,D0,AF,,,ZG,ZS,6556 4834
,,14,247,13,1,AF,2,,,,6556 4834
10/26/2024,F,11,250,16,2,AF,3,,ZS,ZG,6556 4834
,,11,241,16,-2,AF,0,,,,6556 4834
,,11,230,12,,AF,,,,,6556 4834
,B,12,243,19,-3,AF,4,,,,6556 4834
,,12,230,12,,AF,,,,,6556 4834
,B,13,229,21,-3,AF,2,,,,6556 4834
,,13,215,6,,AF,,,,,6556 4834
,B,14,250,6,4,AF,3,,CD,MS,6556 4834
,,14,219,12,,AF,,,CD,MS,6556 4834
,B,15,220,6,,AF,,,,,6556 4834
10/27/2024,F,11,235,19,0,AF,0,,CD,ZS,6556 4834
,B,12,236,19,-4,AF,1,,ZS,CD,6556 4834
,,12,211,6,,AF,,,,,6556 4834
11/1/2024,F,16,238,6,,BF,,MANUAL,ZS,CD,6556 4834
11/2/2024,F,10,247,17,D0,AF,1,,ZS,MAS,6556 4834
,,10,241,16,D0,AF,1,,,,6556 4834
,,11,228,20,-1,AF,0,BIGFLOP,,,6556 4834
,B,11,254,17,-4,AF,2,,,,6556 4834
,B,14,223,6,,AF,,,,,6556 4834
,B,14,239,6,,AF,,,,,6556 4834
,B,15,240,6,,AF,,,MS,CD,6556 4834
11/3/2024,F,14,265,5,,AF,,,CD,ZG,6556 4834
,,14,256,6,,AF,,,,,6556 4834
,B/2,14,245,5,,BF,,,,,6556 4834
,,14,216,21,-1,AF,1,,,,6556 4834
,B,14,226,18,5,BF,,GAINER ,CD,ZG,6556 4834
,B ,14,263,5,4,AF,0,STRAIGHTDOWN,,,6556 4834
,,15,235,6,,BF,,,,,6556 4834
,B,16,216,12,,BF,,,,,6556 4834
,,16,250,6,,BF,,,,,6556 4834
,,16,217,6,,AF,,,,,6556 4834
5/3/2025,F,9,240,6,,AF,,,ZG,ZS,6556 4834
,B,11,223,6,,AF,,,ZS,MS,6556 4834
,,11,235,17,D0,AF,4,,,,6556 4834
,B,17,232,21,-1,AF,2,,ZS,ZG,6556 4834
,,17,220,12,,AF,,,,,6556 4834
,B,17,229,22,-4,AF,1,,,,6556 4834
,,17,237,19,-3,AF,4,,,,6556 4834
,B,17,227,22,-2,AB,3,,,,6556 4834
5/4/2025,F,11,224,12,,AF,,,MS,ZG,6556 4834
,B,14,254,6,,AF,,,,,6556 4834
,B,18,239,19,-2,AF,2,,MS,CD,6556 4834
5/5/2025,F,17,255,15,-3,AF,0,SMALLFLOP,ZG,CD,6556 4834
5/9/2025,F,15,234,6,,BF,,,CD,MS,6556 4834
,B,15,238,18,-3,AB,0,,,,6556 4834
,B,17,232,6,,AF,,,,,6556 4834
5/10/2025,F,10,214,6,,AF,,,MS,MAS,6556 4834
,B,11,252,15,-4,AF,2,,,,6556 4834
,,11,248,14,-3,AF,0,,,,6556 4834
,,11,249,15,-5,AF,1,CHARLIE,,,6556 4834
,,11,215,12,,AF,,,,,6556 4834
,,11,212,12,,AF,,,,,6556 4834
,B,16,247,17,-4,AF,1,PUSHDOWN,,,6556 4834
,,16,230,18,3,AF,2,W2,,,6556 4834
,B,16,227,21,-3,AF,0,W2,MS,ZG,6556 4834
,B,18,227,21,-2,AB,0,W2,,,6556 4834
5/11/2025,F,11,252,16,W0,AF,0,,ZG,MS,6556 4834
,,11,250,6,,AF,,,,,6556 4834
,B/2,11,218,6,,AF,,,,,6556 4834
,B,12,223,12,,BB,,,,,6556 4834
,,12,237,6,,BF,,,,,6556 4834
,B,17,269,8,1,AF,0,,,,6556 4834
,,17,248,6,,AF,,,,,6556 4834
,,17,225,18,-3,AF,0,,,,6556 4834
5/18/2025,,9,221,18,1,AF,2,FLOP,JL,JC,6556 4834
,B,12,230,20,-3,AF,0,,JL,ZG,6556 4834
,,12,223,20,-4,AF,0,,,,6556 4834
,B,14,241,17,W0,AF,2,,,,6556 4834
,,14,232,6,,AF,,,,,6556 4834
,,14,228,16,W0,AF,2,,,,6556 4834
,,14,224,18,W0,AB,3,,,,6556 4834
,B,17,243,17,-3,AF,0,,,,6556 4834
,,17,234,15,D0,AF,0,,,,6556 4834
,,17,222,19,W0,AB,4,,,,6556 4834
,,18,231,17,-4,AB,0,,,,6556 4834
,B,19,221,6,,AF,,,,,6556 4834
5/19/2025,F,12,224,23,-4,AF,0,STRAIGHTDOWN,ZG,MAS,6556 4834
,,12,216,6,,AF,,,,,6556 4834
,B,12,240,18,-3,AF,0,,,,6556 4834
,B,15,236,16,W0,AF,2,,,,6556 4834
,B,16,242,15,-3,AB,0,DEADMAN,,,6556 4834
,,16,221,19,-2,AF,1,,,,6556 4834
,B,18,226,29,1,AF,1,,,,6556 4834
5/22/2025,F,14,245,6,,AF,,,CD,MAS,6556 4834
,,14,235,6,,AF,,,,,6556 4834
,B,16,220,6,,AF,,,,,6556 4834
,B,16,268,8,-1,AF,,,,,6556 4834
5/23/2025,F,16,262,6,,BF,,,CD,MAS,6556 4834
,B,16,252,8,D0,AF,0,,,,6556 4834
5/24/2025,F,9,278,5,1,AF,3,,CD,JK,6556 4834
,,10,217,21,-1,AF,3,,,,6556 4834
,B,10,255,12,-2,AF,4,,,,6556 4834
,,10,211,6,,AF,,,,,6556 4834
,B,12,237,6,,AF,,,,,6556 4834
,B,14,229,20,-4,AF,0,,,,6556 4834
,B,15,229,19,-4,AF,0,,,,6556 4834
,B,15,242,15,2,AF,4,,,,6556 4834
5/25/2025,F,12,226,23,-5,AF,1,,CD,ZS,6556 4834
,B,12,257,12,-4,AF,3,,,,6556 4834
,,12,216,12,,AF,,,,,6556 4834
,B,14,260,8,1,AF,1,,CD,MAS,6556 4834
,B,16,232,21,-4,AF,4,,,,6556 4834
5/27/2025,B,15,242,16,-3,AF,,,ZG,OAB,6556 4834
5/31/2025,F,11,223,24,3,AF,0,,MS,ZS,6556 4834
,,11,211,12,,AF,,,,,6556 4834
,B,11,215,32,-4,BF,0,,,,6556 4834
,B,11,235,16,1,AF,0,,ZG,MAS,6556 4834
,B,14,218,6,,AF,,,,,6556 4834
,B,15,218,6,,BF,,,,,6556 4834
,B,15,216,6,,AF,,,,,6556 4834
,B,15,260,8,2,AF,3,,,,6556 4834
,,16,232,6,,AF,,,,,6556 4834
,,16,220,6,,AF,,,,,6556 4834
,B,16,220,21,W0,AF,2,,,,6556 4834
,B,18,267,6,3,AF,0,,,,6556 4834
,,18,237,17,-2,AF,3,,,,6556 4834
,,18,225,16,2,AF,3,,,,6556 4834
6/1/2025,F,11,227,6,,AF,,,ZS,MAS,6556 4834
,B,14,228,20,,AF,,,,,6556 4834
,B,15,252,6,4,AF,0,,,,6556 4834
,,15,242,6,3,AF,0,,,,6556 4834
,B,16,210,6,,AF,,,,,6556 4834
,,16,226,6,,BF,,,,,6556 4834
6/2/2025,F,15,251,13,-2,AF,0,,ZG,NB,6556 4834
,,16,240,6,,AF,,,,,6556 4834
,B,17,219,21,-1,AF,0,,,,6556 4834
,B,17,219,21,-1,AF,0,,,,6556 4834
6/4/2025,F,11,213,18,,BF,,,ZG,TL,6556 4834
,B,11,216,12,,AF,,,,,6556 4834
,B,12,213,24,5,BF,,RUNNING,,,6556 4834
6/5/2025,F,15,234,18,1,AF,0,,TL,JA,6556 4834
6/6/2025,F,10,221,22,1,AF,,SMALLFLOP,ZG,JA,6556 4834
6/7/2025,F,10,221,22,2,AF,0,,ZG,MAS,6556 4834
,B,11,222,22,-1,AF,0,,,,6556 4834
6/8/2025,F,12,232,20,,AF,,,,,6556 4834
,B,17,242,16,D0,AF,0,,ZS,MS,6556 4834
,,17,235,17,-1,AF,0,,,,6556 4834
,B/2,17,235,19,-4,AF,,,,,6556 4834
6/11/2025,F,13,213,21,,BB,,BACKFLIPS,TL,JA,6556 4834
,,11,225,21,-4,AF,0,,MS,ZG,6556 4834
,,11,214,24,,AF,,,,,6556 4834
,B,12,242,,-5,AF,0,,,,6556 4834
,B,15,220,6,,AF,,,ZS,MAS,6556 4834
,B,16,230,22,-2,AF,0,FLOP,,,6556 4834
,,16,218,22,-4,AB,0,DEADMAN,,,6556 4834
6/16/2025,F,17,247,16,-2,AF,1,,TL,OAB,6556 4834
,,17,240,17,D0,BF,0,FALL,,,6556 4834
,,17,236,15,-2,AF,0,,,,6556 4834
,B,18,246,16,-5,AF,1,,,,6556 4834
6/18/2025,F,14,220,12,,AF,,,ZG,MAS,6556 4834
,,14,225,19,2,AF,2,,,,6556 4834
,B,14,209,26,1,AF,2,,,,6556 4834
,,14,219,6,,AF,,,,,6556 4834
6/19/2025,F,16,250,16,W0,AF,5,,ZG,NB,6556 4834
6/20/2025,F,15,257,14,-4,AF,,,,,6556 4834
,,15,225,21,-1,AF,6,,,,6556 4834
6/21/2025,F,10,230,6,,BF,,,,,6556 4834
,,10,229,19,-4,AF,1,CHARLIE,,,6556 4834
,B,11,241,16,-3,AF,0,,ZG,RD,6556 4834
,,11,221,6,,AF,,,,,6556 4834
,,11,224,19,1,AF,0,,,,6556 4834
,,11,223,12,,AF,,,,,6556 4834
,,11,215,12,,AF,,,,,6556 4834
,B,12,256,6,,BB,,,,,6556 4834
,B,18,239,16,0,AF,2,,,,6556 4834
,,18,213,23,-4,AF,0,,,,6556 4834
,,18,238,15,-2,AB,0,,,,6556 4834
6/22/2025,F,11,222,30,-2,BF,0,,,,6556 4834
,,11,225,19,-3,AB,0,,ZG,MS,6556 4834
,,11,212,12,,AF,,,,,6556 4834
,B,14,239,6,,BB,,,,,6556 4834
,,14,231,23,0,BF,1,,,,6556 4834
,,14,217,22,-3,AF,2,,,,6556 4834
,B,16,232,23,,AF,4,,ZG,MAS,6556 4834
6/23/2025,F,15,232,22,-6,AF,0,STRAIGHTDOWN,ZG,NB,6556 4834
,,15,234,16,-2,AF,0,STRAIGHTDOWN,,,6556 4834
,,15,229,18,-2,AF,0,,,,6556 4834
,B,15,226,24,-5,AF,0,,,,6556 4834
6/24/2025,F,13,220,26,-4,AF,0,,ZG,EB,6556 4834
,,14,218,20,2,AF,0,,,,6556 4834
,B,15,239,6,,BF,,,,,6556 4834
,B,15,228,22,-4,AF,0,,ZG,NB,6556 4834
,,15,219,6,,BF,,,,,6556 4834
6/25/2025,F,13,242,6,,AF,,,MAS,ZG,6556 4834
,,13,224,20,,AF,,,,,6556 4834
,B,15,242,16,-2,AF,0,STRAIGHTDOWN,,,6556 4834
,B,15,242,17,-4,AF,0,STRAIGHTDOWN,ZG,MAS,6556 4834
,,16,228,17,D0,AF,2,FLOP,,,6556 4834
6/26/2025,F,14,232,20,1,AF,0,,TL,MAS,6556 4834
,B,17,228,21,1,AF,3,,TL,EB,6556 4834
6/27/2025,F,13,229,12,-4,AF,0,,ZG,RD,6556 4834
,B/2,13,247,10,1,AF,0,FLOP,ZG,RD,6556 4834
,B,13,225,21,5,BF,2,FRONTFLIPS,,,6556 4834
6/28/2025,F,11,232,19,-4,AF,0,CLIFFHANGER,ZG,MAS,6556 4834
,B,11,242,6,,AF,,,,,6556 4834
,B,13,244,15,-4,AF,0,,TL,MS,6556 4834
,B,15,242,14,D0,AF,3,,,,6556 4834
,,15,232,13,D0,AF,0,,,,6556 4834
,B,16,238,18,-5,AF,0,,,,6556 4834
,B,17,259,6,,BF,,,,,6556 4834
,,17,224,6,,AF,,,,,6556 4834
,B,18,253,11,-2,AF,0,,,,6556 4834
,,18,218,22,-3,AF,0,,,,6556 4834
,,18,212,22,-3,AF,0,,,,6556 4834
6/29/2025,F,9,233,18,W0,AF,0,,ZG,RD,6556 4834
,B,12,227,20,-3,,1,,,,6556 4834
,B,13,218,24,-4,AF,2,,,,6556 4834
,B,14,240,15,W0,AF,1,,,,6556 4834
,,14,230,15,D0,AF,2,,,,6556 4834
,B,16,249,14,-3,AF,1,,MS,NB,6556 4834
,,16,232,21,2,BF,0,,,,6556 4834
,B,18,258,10,D0,AF,3,,,,6556 4834
6/30/2025,F,13,236,18,-2,AF,3,,ZG,EB,6556 4834
,B,13,271,6,2,AF,2,,,,6556 4834
,,13,230,17,-2,AF,1,,,,6556 4834
,B,19,254,6,,AF,,,,,6556 4834
7/1/2025,B,12,267,9,-4,AF,0,STRAIGHTDOWN,ZG,NB,6556 4834
,B,15,244,13,-2,AF,3,,,,6556 4834
,B,15,232,17,W0,AF,1,,,,6556 4834
7/2/2025,F,16,252,13,-1,AF,0,FLOP,MAS,ZG,6556 4834
7/3/2025,F,16,236,19,,AF,,,MAS,TL,6556 4834
7/4/2025,F,11,239,17,1,AF,0,,ZG,JA,6556 4834
,B,16,238,18,-1,AF,0,,ZG,EB,6556 4834
,,16,228,17,W0,AF,0,,,,6556 4834
7/5/2025,F,10,237,26,1,BF,5,,ZS,RD,6556 4834
,B,11,253,14,-4,AF,0,,,,6556 4834
,,11,244,12,-1,AF,1,,,,6556 4834
,,11,239,14,-1,AB,0,DEADMAN,,,6556 4834
,B,11,238,19,-5,AF,0,,ZG,ZS,6556 4834
,B,14,228,21,-3,AF,0,,,,6556 4834
,B,15,235,20,D0,BB,3,,,,6556 4834
,,15,241,14,W0,AF,5,,,,6556 4834
,,15,225,19,-3,AF,0,,,,6556 4834
,B,17,272,6,,AF,0,,,,6556 4834
7/6/2025,F,11,222,22,-3,AF,0,,MS,RD,6556 4834
,B,12,234,19,-1,AF,0,,ZG,EB,6556 4834
7/8/2025,F,15,225,22,-3,AF,0,,ZG,NB,6556 4834
,B,18,260,5,3,AF,0,,,,6556 4834
,B,18,253,6,,BF,,,,,6556 4834
7/10/2025,F,15,237,20,,AF,,,MAS,ZG,6556 4834
7/11/2025,F,14,243,18,-2,AF,4,,ZG,MAS,6556 4834
,B,15,268,6,1,AF,0,,,,6556 4834
,B,16,270,7,-2,AF,0,FLOP,,,6556 4834
7/12/2025,F,9,225,21,D0,AF,0,,JC,RD,6556 4834
,B,10,239,17,-4,AF,0,,,,6556 4834
,,10,225,18,-3,AB,0,,,,6556 4834
,B,11,232,19,1,BF,0,,,,6556 4834
,B,13,232,6,,AF,,,MS,JC,6556 4834
,B,13,222,18,,BF,,4,,,6556 4834
,,15,219,20,-1,AB,1,FLOP,,,6556 4834
,,15,221,22,-4,AF,3,,,,6556 4834
,,15,218,12,,AF,,,MS,MAS,6556 4834
,B,17,233,19,-4,AF,0,,,,6556 4834
,,17,201,12,,AF,,,,,6556 4834
,B,18,231,6,,AF,,,,,6556 4834
7/13/2025,F,11,231,18,D0,AF,3,PUSHDOWN,MS,NB,6556 4834
,B,16,233,16,D0,AF,0,FLOP,ZG,MAS,6556 4834
,,16,216,21,-4,AF,0,STRAIGHTDOWN,,,6556 4834
7/14/2025,F,14,247,6,,BF,,,ZG,NB,6556 4834
,B,16,226,19,D0,AF,1,,ZG,EB,6556 4834
,B,17,259,9,-1,AF,3,,ZG,NB,6556 4834
7/15/2025,F,17,222,22,-3,AF,0,,ZG,JA,6556 4834
,B,17,272,6,,BF,,,,,6556 4834
7/16/2025,F,14,254,11,1,AF,0,,TL,EB,6556 4834
,,14,244,13,-1,AF,1,,,,6556 4834
,,14,239,15,-2,AF,1,,,,6556 4834
,B,15,232,19,-2,AF,1,,TL,MAS,6556 4834
,B,17,260,10,,AF,,,,,6556 4834
7/17/2025,F,14,229,19,D0,AF,2,,MAS,ZG,6556 4834
,,14,220,19,-1,AF,0,,,,6556 4834
,B,15,250,15,,AF,,,,,6556 4834
,,15,229,16,-3,AF,2,,,,6556 4834
,,15,226,19,,BF,,,,,6556 4834
7/18/2025,F,14,224,22,-4,AF,1,CHARLIE,,,6556 4834
,,14,225,21,D0,AB,0,,,,6556 4834
,,14,221,17,D0,AF,0,DEADMAN,,,6556 4834
,B,14,241,16,-5,AF,0,,,,6556 4834
,,14,215,20,W0,AF,0,,,,6556 4834
,B,16,243,14,W0,AF,4,,,,6556 4834
,B,16,220,22,-4,AF,0,,,,6556 4834
